"gene_id","gene_name"
"ENSG00000005513","SOX8"
"ENSG00000013588","GPRC5A"
"ENSG00000013810","TACC3"
"ENSG00000023608","SNAPC1"
"ENSG00000026025","VIM"
"ENSG00000026652","AGPAT4"
"ENSG00000059378","PARP12"
"ENSG00000064300","NGFR"
"ENSG00000065526","SPEN"
"ENSG00000066697","MSANTD3"
"ENSG00000067057","PFKP"
"ENSG00000067082","KLF6"
"ENSG00000072786","STK10"
"ENSG00000087085","ACHE"
"ENSG00000088448","ANKRD10"
"ENSG00000095739","BAMBI"
"ENSG00000099822","HCN2"
"ENSG00000099860","GADD45B"
"ENSG00000100427","MLC1"
"ENSG00000100739","BDKRB1"
"ENSG00000101447","FAM83D"
"ENSG00000102003","SYP"
"ENSG00000103034","NDRG4"
"ENSG00000103037","SETD6"
"ENSG00000105327","BBC3"
"ENSG00000105523","FAM83E"
"ENSG00000105784","RUNDC3B"
"ENSG00000106070","GRB10"
"ENSG00000106178","CCL24"
"ENSG00000108515","ENO3"
"ENSG00000108551","RASD1"
"ENSG00000109846","CRYAB"
"ENSG00000110025","SNX15"
"ENSG00000112096","SOD2"
"ENSG00000113369","ARRDC3"
"ENSG00000113430","IRX4"
"ENSG00000113739","STC2"
"ENSG00000115009","CCL20"
"ENSG00000115738","ID2"
"ENSG00000115758","ODC1"
"ENSG00000122861","PLAU"
"ENSG00000123358","NR4A1"
"ENSG00000124216","SNAI1"
"ENSG00000125266","EFNB2"
"ENSG00000125740","FOSB"
"ENSG00000125945","ZNF436"
"ENSG00000128245","YWHAH"
"ENSG00000128342","LIF"
"ENSG00000128564","VGF"
"ENSG00000130222","GADD45G"
"ENSG00000130707","ASS1"
"ENSG00000131711","MAP1B"
"ENSG00000132661","NXT1"
"ENSG00000134954","ETS1"
"ENSG00000135424","ITGA7"
"ENSG00000136052","SLC41A2"
"ENSG00000140465","CYP1A1"
"ENSG00000141682","PMAIP1"
"ENSG00000143067","ZNF697"
"ENSG00000145040","UCN2"
"ENSG00000146453","PNLDC1"
"ENSG00000147174","GCNA"
"ENSG00000148143","ZNF462"
"ENSG00000148400","NOTCH1"
"ENSG00000151835","SACS"
"ENSG00000153561","RMND5A"
"ENSG00000154328","NEIL2"
"ENSG00000155090","KLF10"
"ENSG00000155962","CLIC2"
"ENSG00000157557","ETS2"
"ENSG00000162623","TYW3"
"ENSG00000163132","MSX1"
"ENSG00000163734","CXCL3"
"ENSG00000164111","ANXA5"
"ENSG00000164430","CGAS"
"ENSG00000165195","PIGA"
"ENSG00000166592","RRAD"
"ENSG00000167552","TUBA1A"
"ENSG00000167874","TMEM88"
"ENSG00000169429","CXCL8"
"ENSG00000169926","KLF13"
"ENSG00000170412","GPRC5C"
"ENSG00000170561","IRX2"
"ENSG00000170892","TSEN34"
"ENSG00000171970","ZNF57"
"ENSG00000172005","MAL"
"ENSG00000172006","ZNF554"
"ENSG00000172059","KLF11"
"ENSG00000172361","CFAP53"
"ENSG00000173110","HSPA6"
"ENSG00000173334","TRIB1"
"ENSG00000174718","RESF1"
"ENSG00000175003","SLC22A1"
"ENSG00000175470","PPP2R2D"
"ENSG00000176125","UFSP1"
"ENSG00000177283","FZD8"
"ENSG00000177542","SLC25A22"
"ENSG00000178078","STAP2"
"ENSG00000179331","RAB39A"
"ENSG00000179820","MYADM"
"ENSG00000182224","CYB5D1"
"ENSG00000183087","GAS6"
"ENSG00000183741","CBX6"
"ENSG00000184205","TSPYL2"
"ENSG00000184731","FAM110C"
"ENSG00000185201","IFITM2"
"ENSG00000186300","ZNF555"
"ENSG00000196363","WDR5"
"ENSG00000196581","AJAP1"
"ENSG00000197461","PDGFA"
"ENSG00000197696","NMB"
"ENSG00000198355","PIM3"
"ENSG00000198695","MT-ND6"
"ENSG00000198719","DLL1"
"ENSG00000198768","APCDD1L"
"ENSG00000198910","L1CAM"
"ENSG00000204387","SNHG32"
"ENSG00000204388","HSPA1B"
"ENSG00000204389","HSPA1A"
"ENSG00000204390","HSPA1L"
"ENSG00000204632","HLA-G"
"ENSG00000213722","DDAH2"
"ENSG00000229407","AL359853.1"
"ENSG00000231290","APCDD1L-DT"
"ENSG00000231638","LUARIS"
"ENSG00000232832","LMLN-AS1"
"ENSG00000233930","KRTAP5-AS1"
"ENSG00000237399","PITRM1-AS1"
"ENSG00000257497","AC121761.1"
"ENSG00000260035","AC051619.8"
"ENSG00000261490","AC005674.2"
"ENSG00000267898","AC026803.2"
"ENSG00000272695","GAS6-DT"
"ENSG00000273001","AL731533.2"
"ENSG00000274561","AC005332.3"
"ENSG00000276445","AC005393.1"
"ENSG00000276900","AC023157.3"
"ENSG00000277959","AL162274.2"
"ENSG00000286755","AC135893.1"
"ENSG00000286948","AP000867.5"
"ENSG00000287766","AC006130.3"
